sweep,relation_id,analysis_type,predictor,response,n,pearson_r,spearman_rho,linear_slope,linear_intercept,linear_R2,predictor_min,predictor_max,response_min,response_max,response_range,predictor_unit,response_unit,evidence_scope,mechanism_note
amplitude,A1_Cs1,correlation_and_linear_fit,excess_fault_amplitude,DeltaCs1_fault_induced,6,0.999999936043816,1,8.14743510251263,-0.00182579752234,0.999999872087636,0.04999999999978,0.59999999999967,0.404535615687523,4.88637935957825,4.48184374389073,1,pF,controlled exploratory evidence,"Fault-induced Cs1 bias versus fault increment."
amplitude,A1_abs_Cs2,correlation_and_linear_fit,excess_fault_amplitude,abs_DeltaCs2_fault_induced,6,0.99999993659252,1,8.14607856816642,-0.00165914873380546,0.999999873185043,0.04999999999978,0.59999999999967,0.404645690108941,4.88571298691452,4.48106729680558,1,pF,controlled exploratory evidence,"Magnitude of fault-induced Cs2 bias versus fault increment."
amplitude,A3_false_comp_RMS,correlation_and_linear_fit,excess_fault_amplitude,false_compensation_RMS,6,0.9999999363963,1,0.281531707805829,-6.02156308715348e-05,0.999999872792605,0.04999999999978,0.59999999999967,0.0139816496580713,0.168849635794913,0.154867986136842,1,mA,controlled exploratory evidence,"False coupling compensation magnitude versus fault increment."
amplitude,A3_lost_increment,correlation_and_linear_fit,excess_fault_amplitude,lost_increment,6,0.999999935668003,1,0.333433252668257,-0.00112362434769731,0.999999871336011,0.04999999999978,0.59999999999967,0.0155066700535,0.19892520264039,0.18341853258689,1,fault-factor increment,controlled exploratory evidence,"Absolute fault increment removed from the M2 estimate."
amplitude,A3_Cs1_vs_loss,correlation_and_linear_fit,DeltaCs1_fault_induced,lost_increment,6,0.999999999899953,1,0.040924935094896,-0.0010489037278853,0.999999999799907,0.404535615687523,4.88637935957825,0.0155066700535,0.19892520264039,0.18341853258689,pF,fault-factor increment,controlled exploratory evidence,"Recursive Cs1 bias versus lost fault increment."
amplitude,A3_abs_Cs2_vs_loss,correlation_and_linear_fit,abs_DeltaCs2_fault_induced,lost_increment,6,0.999999999936058,1,0.0409317501869188,-0.00105571256511187,0.999999999872116,0.404645690108941,4.88571298691452,0.0155066700535,0.19892520264039,0.18341853258689,pF,fault-factor increment,controlled exploratory evidence,"Recursive absolute Cs2 bias versus lost fault increment."
amplitude,A4_eta_geom_invariant,descriptive_invariant,excess_fault_amplitude,eta_geom_post,6,NaN,NaN,NaN,NaN,NaN,0.04999999999978,0.59999999999967,0.275451415244565,0.275451415244565,0,1,1,controlled exploratory evidence,"eta_geom is numerically invariant, so correlation is not a meaningful mechanism statistic."
phase_error,B1_pre_Cs1_bias,correlation_and_linear_fit,reference_phase_error,Cs1_pre_estimation_bias,6,-0.997218443114207,-1,-0.271943695178325,0.0469231884485508,0.994444623287124,0,3,-0.79484549051886,0.0202221494653099,0.81506763998417,deg,pF,controlled exploratory evidence,"Reference phase error versus normal pre-fault Cs1 bias."
phase_error,B1_pre_Cs2_bias,correlation_and_linear_fit,reference_phase_error,Cs2_pre_estimation_bias,6,-0.999084051470838,-1,-0.473802729347925,0.0772371292830952,0.998168941903385,0,3,-1.3700628962804,0.0505707101295449,1.42063360640994,deg,pF,controlled exploratory evidence,"Reference phase error versus normal pre-fault Cs2 bias."
phase_error,B2_M2_retention,correlation_and_linear_fit,reference_phase_error,M2_fault_retention_error,6,-0.993939952863075,-1,-2.83067589345688,-12.8896388723516,0.987916629897451,0,3,-21.0069181154342,-12.432825165027,8.5740929504072,deg,percent,controlled exploratory evidence,"Phase error versus M2 fault retention error."
phase_error,B2_counterfactual_retention,correlation_and_linear_fit,reference_phase_error,counterfactual_retention_error,6,-0.993929204571301,-1,-4.24237463372126,-0.619614061250836,0.987895263699738,0,3,-12.7846351082263,0.0656971425536663,12.85033225078,deg,percent,controlled exploratory evidence,"Phase error versus retention using counterfactual parameters."
phase_error,B3_eta_geom,correlation_and_linear_fit,reference_phase_error,eta_geom_post,6,0.967553759465301,1,0.000201854508795946,0.275382168357334,0.936160277455436,0,3,0.275451415244565,0.276054995914029,0.000603580669463977,deg,1,controlled exploratory evidence,"Association is reported with effect size; eta changes only slightly."
phase_error,B4_false_comp_phase,correlation_and_linear_fit,reference_phase_error,false_compensation_phase,6,-0.999998328298948,-1,-0.7956085258817,0.00521359866837321,0.99999665660069,0,3,-2.37962638845286,0.0067672600862636,2.38639364853912,deg,deg,controlled exploratory evidence,"Reference phase error versus false-compensation direction rotation."
phase_error,B4_false_comp_ratio,correlation_and_linear_fit,reference_phase_error,false_compensation_ratio,6,0.967327510881116,1,0.000339012854132963,0.333178451050949,0.935722513307457,0,3,0.333295280438714,0.334308815364642,0.00101353492592804,deg,1,controlled exploratory evidence,"Reference phase error versus false-compensation amplitude ratio."
